assign0102.cの出力結果。
N = 100では既にx=0なので、N=1000でも当然x=0である。
N:  0 x:0.10000000000000000555
N:  1 x:0.20000000000000001110
N:  2 x:0.40000000000000002220
N:  3 x:0.80000000000000004441
N:  4 x:0.39999999999999991118
N:  5 x:0.79999999999999982236
N:  6 x:0.40000000000000035527
N:  7 x:0.80000000000000071054
N:  8 x:0.39999999999999857891
N:  9 x:0.79999999999999715783
N: 10 x:0.40000000000000568434
N: 11 x:0.80000000000001136868
N: 12 x:0.39999999999997726263
N: 13 x:0.79999999999995452526
N: 14 x:0.40000000000009094947
N: 15 x:0.80000000000018189894
N: 16 x:0.39999999999963620212
N: 17 x:0.79999999999927240424
N: 18 x:0.40000000000145519152
N: 19 x:0.80000000000291038305
N: 20 x:0.39999999999417923391
N: 21 x:0.79999999998835846782
N: 22 x:0.40000000002328306437
N: 23 x:0.80000000004656612873
N: 24 x:0.39999999990686774254
N: 25 x:0.79999999981373548508
N: 26 x:0.40000000037252902985
N: 27 x:0.80000000074505805969
N: 28 x:0.39999999850988388062
N: 29 x:0.79999999701976776123
N: 30 x:0.40000000596046447754
N: 31 x:0.80000001192092895508
N: 32 x:0.39999997615814208984
N: 33 x:0.79999995231628417969
N: 34 x:0.40000009536743164062
N: 35 x:0.80000019073486328125
N: 36 x:0.39999961853027343750
N: 37 x:0.79999923706054687500
N: 38 x:0.40000152587890625000
N: 39 x:0.80000305175781250000
N: 40 x:0.39999389648437500000
N: 41 x:0.79998779296875000000
N: 42 x:0.40002441406250000000
N: 43 x:0.80004882812500000000
N: 44 x:0.39990234375000000000
N: 45 x:0.79980468750000000000
N: 46 x:0.40039062500000000000
N: 47 x:0.80078125000000000000
N: 48 x:0.39843750000000000000
N: 49 x:0.79687500000000000000
N: 50 x:0.40625000000000000000
N: 51 x:0.81250000000000000000
N: 52 x:0.37500000000000000000
N: 53 x:0.75000000000000000000
N: 54 x:0.50000000000000000000
N: 55 x:1.00000000000000000000
N: 56 x:0.00000000000000000000
N: 57 x:0.00000000000000000000
N: 58 x:0.00000000000000000000
N: 59 x:0.00000000000000000000
N: 60 x:0.00000000000000000000
N: 61 x:0.00000000000000000000
N: 62 x:0.00000000000000000000
N: 63 x:0.00000000000000000000
N: 64 x:0.00000000000000000000
N: 65 x:0.00000000000000000000
N: 66 x:0.00000000000000000000
N: 67 x:0.00000000000000000000
N: 68 x:0.00000000000000000000
N: 69 x:0.00000000000000000000
N: 70 x:0.00000000000000000000
N: 71 x:0.00000000000000000000
N: 72 x:0.00000000000000000000
N: 73 x:0.00000000000000000000
N: 74 x:0.00000000000000000000
N: 75 x:0.00000000000000000000
N: 76 x:0.00000000000000000000
N: 77 x:0.00000000000000000000
N: 78 x:0.00000000000000000000
N: 79 x:0.00000000000000000000
N: 80 x:0.00000000000000000000
N: 81 x:0.00000000000000000000
N: 82 x:0.00000000000000000000
N: 83 x:0.00000000000000000000
N: 84 x:0.00000000000000000000
N: 85 x:0.00000000000000000000
N: 86 x:0.00000000000000000000
N: 87 x:0.00000000000000000000
N: 88 x:0.00000000000000000000
N: 89 x:0.00000000000000000000
N: 90 x:0.00000000000000000000
N: 91 x:0.00000000000000000000
N: 92 x:0.00000000000000000000
N: 93 x:0.00000000000000000000
N: 94 x:0.00000000000000000000
N: 95 x:0.00000000000000000000
N: 96 x:0.00000000000000000000
N: 97 x:0.00000000000000000000
N: 98 x:0.00000000000000000000
N: 99 x:0.00000000000000000000
N: 100 x:0.00000000000000000000
